Date,Open,High,Low,Close,Volume
2024-01-01,84.6,85.55,84.35,84.98,25916
2024-01-02,86.83,87.49,86.82,86.9,26021
2024-01-03,86.59,87.88,86.01,86.95,45116
2024-01-04,85.96,86.88,84.55,85.23,12268
2024-01-05,87.19,87.24,85.74,86.7,27731
2024-01-06,84.9,85.61,84.6,85.3,22168
2024-01-07,85.98,86.68,85.72,85.9,40040
2024-01-08,88.47,88.91,86.82,87.64,23470
2024-01-09,86.03,87.33,85.07,86.36,46363
2024-01-10,85.46,86.25,84.22,85.01,13184
2024-01-11,85.52,86.15,84.38,84.82,13661
2024-01-12,82.4,83.87,82.03,83.36,15006
2024-01-13,81.39,82.18,81.26,81.87,15014
2024-01-14,81.11,81.67,79.92,80.13,24340
2024-01-15,80.07,80.93,78.79,79.63,28093
2024-01-16,81.16,81.73,79.39,80.26,48004
2024-01-17,81.78,82.35,80.88,81.61,20245
2024-01-18,82.53,83.33,82.5,83.07,40121
2024-01-19,83.4,84.39,82.06,82.59,28085
2024-01-20,81.21,82.05,80.79,81.16,15395
2024-01-21,81.2,81.45,80.41,80.82,18714
2024-01-22,80.22,81.29,80.19,80.57,22279
2024-01-23,79.16,79.87,78.13,78.74,15501
2024-01-24,80.16,80.75,79.7,79.87,40333
2024-01-25,78.8,79.64,78.3,79.29,33508
2024-01-26,81.64,82.46,80.27,81.08,14922
2024-01-27,80.45,81.05,79.78,80.62,20053
2024-01-28,82.08,82.59,81.47,81.48,11453
2024-01-29,80.95,81.09,80.39,81.0,12555
2024-01-30,79.51,80.35,78.58,80.14,26324
2024-01-31,80.43,80.99,79.15,79.64,25751
2024-02-01,78.14,79.29,78.11,78.57,16376
2024-02-02,80.18,80.64,80.18,80.41,42253
2024-02-03,79.39,80.05,79.05,80.0,16661
2024-02-04,79.04,79.18,77.62,78.23,31648
2024-02-05,79.29,80.49,79.19,80.07,36119
2024-02-06,80.35,80.84,79.47,80.8,49716
2024-02-07,81.64,81.83,80.64,80.65,37532
2024-02-08,79.71,80.68,79.3,80.28,33914
2024-02-09,82.06,82.21,80.97,81.13,22703
2024-02-10,82.1,83.65,82.01,83.02,49353
2024-02-11,84.81,85.83,84.04,85.25,23667
2024-02-12,85.48,85.55,84.82,84.95,48853
2024-02-13,88.02,88.72,87.04,87.4,46697
2024-02-14,88.38,89.93,88.34,89.35,22225
2024-02-15,89.85,90.83,89.71,90.19,44993
2024-02-16,91.21,92.34,90.8,91.74,47374
2024-02-17,92.05,92.8,91.66,92.68,39554
2024-02-18,94.31,95.33,93.7,94.84,21958
2024-02-19,96.43,97.23,95.7,96.76,33212
2024-02-20,97.97,98.83,97.86,98.32,35943
2024-02-21,98.89,99.21,98.33,98.72,43372
2024-02-22,99.79,100.49,98.81,100.28,37233
2024-02-23,101.57,102.03,100.58,101.64,16670
2024-02-24,102.47,103.58,102.07,102.59,16703
2024-02-25,102.98,103.5,102.52,103.31,31768
2024-02-26,105.48,106.01,104.28,104.74,10697
2024-02-27,107.21,107.42,106.01,106.29,11777
2024-02-28,106.35,107.22,105.36,105.83,14975
2024-02-29,107.93,108.78,107.04,107.91,17824
2024-03-01,107.98,109.73,107.27,108.92,19369
2024-03-02,108.32,109.17,107.74,108.92,24217
2024-03-03,109.55,109.86,108.62,108.74,29134
